Country,Time,House Price Index,Income Index,Affordability Ratio
Sweden,2023-Q2,221.75038095511917,146.4602251024399,151.41
Sweden,2023-Q3,217.12141686553002,146.4602251024399,148.25
Sweden,2023-Q4,213.26873867916393,146.4602251024399,145.62
Sweden,2024-Q1,208.9416635519393,147.70015801931137,141.46
Switzerland,2000-Q1,100.0,100.0,100.0
Switzerland,2000-Q2,100.11444229529336,100.0,100.11
Switzerland,2000-Q3,101.38297872340428,100.0,101.38
Switzerland,2000-Q4,101.15248226950355,100.0,101.15
Switzerland,2001-Q1,101.7150225660864,102.9763569464109,98.78
Switzerland,2001-Q2,100.91715022566088,102.9763569464109,98.0
Switzerland,2001-Q3,101.12991618310767,102.9763569464109,98.21
Switzerland,2001-Q4,102.49032882011606,102.9763569464109,99.53
Switzerland,2002-Q1,102.23243068987749,102.50354293590568,99.74
Switzerland,2002-Q2,101.64893617021278,102.50354293590568,99.17
Switzerland,2002-Q3,100.65764023210832,102.50354293590568,98.2
Switzerland,2002-Q4,101.15892972275951,102.50354293590568,98.69
Switzerland,2003-Q1,101.45390070921987,101.9380526097468,99.53
Switzerland,2003-Q2,102.79658284977432,101.9380526097468,100.84
Switzerland,2003-Q3,103.81044487427467,101.9380526097468,101.84
Switzerland,2003-Q4,103.4477756286267,101.9380526097468,101.48
Switzerland,2004-Q1,104.39877498388137,104.13130054132185,100.26
Switzerland,2004-Q2,105.63668600902645,104.13130054132185,101.45
Switzerland,2004-Q3,107.96582849774339,104.13130054132185,103.68
Switzerland,2004-Q4,108.59767891682786,104.13130054132185,104.29
Switzerland,2005-Q1,108.66860090264348,106.87249772354788,101.68
Switzerland,2005-Q2,109.41328175370728,106.87249772354788,102.38
Switzerland,2005-Q3,111.63926499032881,106.87249772354788,104.46
Switzerland,2005-Q4,112.66602192134107,106.87249772354788,105.42
Switzerland,2006-Q1,114.73726627981948,110.38985275379243,103.94
Switzerland,2006-Q2,115.9993552546744,110.38985275379243,105.08
Switzerland,2006-Q3,116.81495809155382,110.38985275379243,105.82
Switzerland,2006-Q4,122.06640876853643,110.38985275379243,110.58
Switzerland,2007-Q1,123.8604126370084,114.61393085332041,108.07
Switzerland,2007-Q2,124.24242424242425,114.61393085332041,108.4
Switzerland,2007-Q3,124.42617666021923,114.61393085332041,108.56
Switzerland,2007-Q4,124.72598323662152,114.61393085332041,108.82
Switzerland,2008-Q1,126.37814313346229,116.18388586251443,108.77
Switzerland,2008-Q2,128.00451321727917,116.18388586251443,110.17
Switzerland,2008-Q3,130.02578981302386,116.18388586251443,111.91
Switzerland,2008-Q4,131.47969052224371,116.18388586251443,113.17
Switzerland,2009-Q1,130.896196002579,118.20892506990958,110.73
Switzerland,2009-Q2,129.94519664732428,118.20892506990958,109.93
Switzerland,2009-Q3,129.3713733075435,118.20892506990958,109.44
Switzerland,2009-Q4,128.22695035460993,118.20892506990958,108.47
Switzerland,2010-Q1,130.94616376531272,120.22452796989988,108.92
Switzerland,2010-Q2,131.69084461637652,120.22452796989988,109.54
Switzerland,2010-Q3,133.1802063185042,120.22452796989988,110.78
Switzerland,2010-Q4,136.77627337201807,120.22452796989988,113.77
Switzerland,2011-Q1,138.50580270793037,121.67519698070902,113.83
Switzerland,2011-Q2,141.60702772404898,121.67519698070902,116.38
Switzerland,2011-Q3,142.6273372018053,121.67519698070902,117.22
Switzerland,2011-Q4,143.8072211476467,121.67519698070902,118.19
Switzerland,2012-Q1,146.39587362991617,124.81609975572225,117.29
Switzerland,2012-Q2,148.14796905222437,124.81609975572225,118.69
Switzerland,2012-Q3,149.4455190199871,124.81609975572225,119.73
Switzerland,2012-Q4,149.94197292069634,124.81609975572225,120.13
Switzerland,2013-Q1,153.2833655705996,128.2147112122094,119.55
Switzerland,2013-Q2,153.48646034816247,128.2147112122094,119.71
Switzerland,2013-Q3,154.7275950999355,128.2147112122094,120.68
Switzerland,2013-Q4,156.20889748549325,128.2147112122094,121.83
Switzerland,2014-Q1,156.79078014184398,130.3953537749128,120.24
Switzerland,2014-Q2,158.15441650548036,130.3953537749128,121.29
Switzerland,2014-Q3,158.9603481624758,130.3953537749128,121.91
Switzerland,2014-Q4,160.001611863314,130.3953537749128,122.7
Switzerland,2015-Q1,161.95357833655706,132.5877701859043,122.15
Switzerland,2015-Q2,160.99774339136042,132.5877701859043,121.43
Switzerland,2015-Q3,161.07027724049001,132.5877701859043,121.48
Switzerland,2015-Q4,161.99709864603483,132.5877701859043,122.18
Switzerland,2016-Q1,163.7701482914249,134.60186205908744,121.67
Switzerland,2016-Q2,164.54867827208253,134.60186205908744,122.25
Switzerland,2016-Q3,164.1747259832366,134.60186205908744,121.97
Switzerland,2016-Q4,162.73855577047064,134.60186205908744,120.9
Switzerland,2017-Q1,164.4310122501612,134.0884421320917,122.63
Switzerland,2017-Q2,166.97130883301097,134.0884421320917,124.52
Switzerland,2017-Q3,167.25499677627337,134.0884421320917,124.73
Switzerland,2017-Q4,169.23920051579626,134.0884421320917,126.21
Switzerland,2018-Q1,168.8426821405545,134.97662113528432,125.09
Switzerland,2018-Q2,171.3023855577047,134.97662113528432,126.91
Switzerland,2018-Q3,172.8223726627982,134.97662113528432,128.04
Switzerland,2018-Q4,175.04674403610574,134.97662113528432,129.69
Switzerland,2019-Q1,176.14925854287557,137.6913700019191,127.93
Switzerland,2019-Q2,178.90715667311412,137.6913700019191,129.93
Switzerland,2019-Q3,178.58800773694392,137.6913700019191,129.7
Switzerland,2019-Q4,179.2343649258543,137.6913700019191,130.17
Switzerland,2020-Q1,182.29206963249516,142.55547119663197,127.87
Switzerland,2020-Q2,184.8404255319149,142.55547119663197,129.66
Switzerland,2020-Q3,187.68858800773694,142.55547119663197,131.66
Switzerland,2020-Q4,188.92972275951,142.55547119663197,132.53
Switzerland,2021-Q1,192.36460348162475,143.17394059049352,134.36
Switzerland,2021-Q2,196.44745325596392,143.17394059049352,137.21
Switzerland,2021-Q3,201.65377176015477,143.17394059049352,140.85
Switzerland,2021-Q4,204.5744680851064,143.17394059049352,142.89
Switzerland,2022-Q1,209.06511927788526,145.10878466601662,144.07
Switzerland,2022-Q2,213.6283043197937,145.10878466601662,147.22
Switzerland,2022-Q3,216.20889748549322,145.10878466601662,149.0
Switzerland,2022-Q4,215.80593165699548,145.10878466601662,148.72
Switzerland,2023-Q1,216.56673114119923,146.4988653995641,147.83
United Kingdom,1995-Q1,100.0,100.0,100.0
United Kingdom,1995-Q2,101.01924447612261,100.0,101.02
United Kingdom,1995-Q3,102.04205274411974,100.0,102.04
United Kingdom,1995-Q4,100.5096222380613,100.0,100.51
United Kingdom,1996-Q1,102.04205274411974,102.6424739774827,99.42
United Kingdom,1996-Q2,102.04205274411974,102.6424739774827,99.42
United Kingdom,1996-Q3,106.12259444048466,102.6424739774827,103.39
United Kingdom,1996-Q4,107.65502494654311,102.6424739774827,104.88
United Kingdom,1997-Q1,109.18389166072701,105.28151673779789,103.71
United Kingdom,1997-Q2,111.73556664290807,105.28151673779789,106.13
United Kingdom,1997-Q3,117.34853884533143,105.28151673779789,111.46
United Kingdom,1997-Q4,116.32573057733431,105.28151673779789,110.49
United Kingdom,1998-Q1,119.38702779757662,106.4020689978558,112.2
United Kingdom,1998-Q2,125.50962223806133,106.4020689978558,117.96
United Kingdom,1998-Q3,131.12259444048468,106.4020689978558,123.23
United Kingdom,1998-Q4,130.61297220242338,106.4020689978558,122.75
United Kingdom,1999-Q1,131.12259444048468,110.84090354290414,118.3
United Kingdom,1999-Q2,136.73556664290808,110.84090354290414,123.36
United Kingdom,1999-Q3,144.9002138275125,110.84090354290414,130.73
United Kingdom,1999-Q4,148.4711332858161,110.84090354290414,133.95
United Kingdom,2000-Q1,152.55167498218105,116.70104028945933,130.72
